wardcode,wardname,constituencycode,constituencyname
95J 12,North,N06000018,West Tyrone
95V 10,Northland,N06000005,East Antrim
95I 04,Oaklands,N06000010,Mid Ulster
95O 20,Observatory,N06000011,Newry and Armagh
95S 13,Old Warren,N06000009,Lagan Valley
95I 12,Oldtown,N06000010,Mid Ulster
95Z 10,Orangefield,N06000001,Belfast East
95K 12,Owenkillew,N06000018,West Tyrone
95G 15,Park,N06000012,North Antrim
95T 15,Parkgate,N06000014,South Antrim
95N 21,Parklake,N06000017,Upper Bann
95A 25,Pennyburn,N06000008,Foyle
95J 05,Plumbridge,N06000018,West Tyrone
95S 28,Poleglass,N06000004,Belfast West
95I 02,Pomeroy,N06000010,Mid Ulster
95X 23,Portaferry,N06000016,Strangford
95X 21,Portavogie,N06000016,Strangford
95G 07,Portglenone,N06000012,North Antrim
95L 20,Portora,N06000007,Fermanagh and South Tyrone
95C 09,Portstewart,N06000006,East Londonderry
95O 12,Poyntz Pass,N06000011,Newry and Armagh
95W 13,Princetown,N06000013,North Down
95Q 10,Quilly,N06000009,Lagan Valley
95R 09,Quoile,N06000015,South Down
95T 04,Randalstown,N06000014,South Antrim
95B 12,Rathbrady,N06000006,East Londonderry
95Q 11,Rathfriland,N06000015,South Down
95W 16,Rathgael,N06000013,North Down
95Z 13,Ravenhill,N06000003,Belfast South
95O 15,Rich Hill,N06000011,Newry and Armagh
95C 21,Ringsend,N06000006,East Londonderry
95B 11,Roeside,N06000006,East Londonderry
95A 22,Rosemount,N06000008,Foyle
95Z 15,Rosetta,N06000003,Belfast South
95L 01,Rosslea,N06000007,Fermanagh and South Tyrone
95L 19,Rossorry,N06000007,Fermanagh and South Tyrone
95P 06,Rostrevor,N06000015,South Down
95U 09,Rostulla,N06000005,East Antrim
95D 07,Route,N06000012,North Antrim
95C 06,Royal Portrush,N06000006,East Londonderry
95R 01,Saintfield,N06000016,Strangford
95I 05,Sandholes,N06000010,Mid Ulster
95X 07,Scrabo,N06000016,Strangford
95D 02,Seacon,N06000012,North Antrim
95R 16,Seaforde,N06000015,South Down
95Q 16,Seapatrick,N06000017,Upper Bann
95P 07,Seaview,N06000015,South Down
95S 25,Seymour Hill,N06000009,Lagan Valley
95Z 24,Shaftesbury,N06000003,Belfast South
95Z 37,Shankill,N06000004,Belfast West
95A 28,Shantallow East,N06000008,Foyle
95A 27,Shantallow West,N06000008,Foyle
95T 05,Shilvodan,N06000014,South Antrim
95R 21,Shimna,N06000015,South Down
95P 28,Silver Bridge,N06000011,Newry and Armagh
95W 15,Silverstream,N06000013,North Down
95J 08,Sion Mills,N06000018,West Tyrone
95K 08,Sixmilecross,N06000018,West Tyrone
95G 02,Slemish,N06000012,North Antrim
95J 10,Slievekirk,N06000018,West Tyrone
95J 15,South,N06000018,West Tyrone
95P 11,Spelga,N06000015,South Down
95W 19,Spring Hill,N06000013,North Down
95T 08,Springfarm,N06000014,South Antrim
95A 15,Springtown,N06000008,Foyle
95P 16,St. Mary's,N06000011,Newry and Armagh
95P 15,St. Patrick's,N06000011,Newry and Armagh
95T 12,Steeple,N06000014,South Antrim
95I 08,Stewartstown,N06000010,Mid Ulster
95T 13,Stiles,N06000014,South Antrim
95Z 07,Stormont,N06000001,Belfast East
95A 24,Strand,N06000008,Foyle
95C 10,Strand,N06000006,East Londonderry
95R 13,Strangford,N06000015,South Down
95Z 21,Stranmillis,N06000003,Belfast South
95D 04,Stranocum,N06000012,North Antrim
95K 21,Strule,N06000018,West Tyrone
95G 18,Summerfield,N06000012,North Antrim
95V 09,Sunnylands,N06000005,East Antrim
95H 01,Swatragh,N06000010,Mid Ulster
95Z 01,Sydenham,N06000001,Belfast East
95N 23,Taghnevan,N06000017,Upper Bann
95O 13,Tandragee,N06000011,Newry and Armagh
